name,code,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,tsvData.mapcolor7,tsvData.mapcolor8,tsvData.mapcolor9,tsvData.mapcolor13,population,iso_a3,iso_n3,continent,subregion,region,average
"Chile","CHL",148.49178736058667,150.51528075531459,146.89005877442659,147.78427868974907,146.18104695734269,142.6265709299428,140.43684946373722,138.98597028393297,134.93939060286809,138.1662794808785,137.91314470236208,135.32997871160498,133.82063812821994,133.26699068605927,130.35028719859017,129.98106073278262,129.76188436313228,130.51984926973614,5,1,5,9,16601707,"CHL",152,"South America","South America","Latin America & Caribbean",138.66451928284815
"China","CHN",155.54780244513913,154.74524807941614,154.24260562507115,154.11580289707916,152.53755152979394,147.72082781891748,142.26216343497433,139.6353084878283,138.78213126854868,138.84299833356516,138.75919423633411,138.66867910026409,138.28759057532579,136.47092511149418,138.19036393566219,140.76161355320184,140.96288473800604,138.1298200791644,4,4,4,3,1338612970,"CHN",156,"Asia","Eastern Asia","East Asia & Pacific",143.814639513877
"Colombia","COL",108.69154371666188,107.35451661091052,113.3454336233293,106.77108704351564,104.42350257974735,100.70993414233553,100.73342049728431,97.5464339967998,96.360233631882309,96.30551044595839,93.8705322951711,89.727758980910366,88.417444214708183,86.912813268803447,86.176596361863147,86.459177951893821,87.005987286084135,86.6682354978885,2,1,3,1,45644023,"COL",170,"South America","South America","Latin America & Caribbean",96.526675674763766
"Comoros","COM",136.59181824861179,133.61023963349933,131.47294113936971,129.41173776087572,127.79899084979324,126.62395643557733,126.29368661259529,125.64077419652858,125.72949241928737,125.30842396097674,125.0396743377291,125.19601793421103,125.1863256577723,124.86310790885652,124.84566581469569,124.6513994191024,124.44864466139978,124.12519801782442,2,1,4,10,752438,"COM",174,"Africa","Eastern Africa","Sub-Saharan Africa",127.04656083381701
"Congo","COG",149.16030237051331,142.22520836632771,138.64590413617887,138.34627446341375,138.15902544642682,139.28154257670471,136.83547002927551,136.27127605465222,135.50530260579075,134.9355643829721,135.54333173869688,133.30618107439548,133.71438426221491,133.52116381441544,134.26724741076387,135.00529367229603,133.84927678066023,133.92105465196894,2,1,3,10,4012809,"COG",178,"Africa","Middle Africa","Sub-Saharan Africa",136.80521132431485
"Costa Rica","CRI",120.19388245395501,120.46593581957201,118.11397045454027,118.6136819057613,118.07935165437586,112.152005269815,114.07458166912588,104.75312952335869,106.97498538068398,108.61622188431733,115.54872202548762,113.01808523484114,112.14201844196799,111.55007534375477,110.539782810363,112.47589740080618,117.1645982406753,117.5834365815289,3,2,4,2,4253877,"CRI",188,"North America","Central America","Latin America & Caribbean",114.00335344971835
"Cote d'Ivoire","CIV",106.76248793606064,106.40665208829752,105.82872771290944,105.63543909059905,105.49661488807405,105.48359075162321,105.5010395829983,104.90030601606111,103.99101142328162,103.3026650767283,103.25805750077571,103.01110041868212,103.57636417376771,103.90516287344157,104.01215691510123,103.95723650832537,103.36601394833441,102.83820611860472,4,6,3,3,20617068,"CIV",384,"Africa","Western Africa","Sub-Saharan Africa",104.51293516798145
"Croatia","HRV",170.97849927387685,168.37208971641496,169.68557721081723,171.22707203129019,166.5532734021767,168.63415598317638,167.40297051829776,171.27503255528322,175.0873512606571,169.37242168615117,169.25004643245089,168.87110681140243,167.98301193582273,162.66624909462354,165.58151609630218,169.10028202611744,158.53288785941905,153.42682777084693,5,4,5,1,4489409,"HRV",191,"Europe","Southern Europe","Europe & Central Asia",167.44446509250704
"Cuba","CUB",134.561946516964,135.40697882602146,132.12996945263237,134.63474335807734,137.05460391353594,140.07252895330157,136.82558521404297,137.97793780310491,140.02898743601446,140.78228843597657,141.1672358902147,135.321170030829,137.97832354647494,138.50130920163255,139.17550263288155,142.03522606681256,141.98482585853995,140.488409020916,3,5,3,4,11451652,"CUB",192,"North America","Caribbean","Latin America & Caribbean",138.11819845322071
"Cyprus","CYP",127.62171801937272,128.40393350069698,129.78337219698858,130.7039348180424,131.57019792457302,130.00651408038703,127.95116102613672,126.87543940092029,124.60867496020438,123.59182847930083,121.97329786064884,119.10436436014223,116.95349517791486,115.48809866091639,113.82144054327698,111.8047651871417,109.34369279193203,108.49230553610165,1,2,3,7,531640,"CYP",196,"Asia","Western Asia","Europe & Central Asia",122.11656858470542
"Czechia","CZE",186.62353726749922,183.35430089471188,181.81968809871552,184.20248621298754,178.06790346553748,174.7391403353719,168.97703637965574,166.40299098334629,165.40990599026784,162.70659598240871,161.1078229066442,156.85972199863647,152.979083855202,148.92590977626938,143.41713167781546,141.8639806808211,139.74985169327428,139.17650756710276,1,1,2,6,10211904,"CZE",203,"Europe","Eastern Europe","Europe & Central Asia",163.13242198701488
"Democratic Republic of Congo","COD",105.66727522844539,105.00760749017348,103.69620517156405,104.21635021804786,103.28006215421861,102.42755741954586,101.64505262696352,100.85169216639751,100.76823605077544,100.44112093798597,100.47375648826545,100.64120624811994,100.81019670910297,100.73662720352053,100.68079115158467,100.68482798275201,100.58932186739811,100.55941209061052,4,4,4,7,68692542,"COD",180,"Africa","Middle Africa","Sub-Saharan Africa",101.84318328919288
